id,zipcode,city,state,fo,dds,oho,fo_id,dds_id,oho_id
970,3910,York Beach,ME,PORTSMOUTH NH,AUGUSTA ME,MANCHESTER NH,,,
971,3911,York Harbor,ME,PORTSMOUTH NH,AUGUSTA ME,MANCHESTER NH,,,
972,4001,Acton,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
973,4002,Alfred,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
974,4003,Bailey Island,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
975,4004,Bar Mills,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
976,4005,Arundel,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
977,4006,Biddeford Pool,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
978,4007,Biddeford Pool,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
979,4008,Bowdoinham,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
980,4009,Bridgton,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
981,4010,Brownfield,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
982,4011,Birch Island,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
983,4013,Bustins Island,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
984,4014,Cape Porpoise,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
985,4015,Casco,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
986,4016,Center Lovell,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
987,4017,Chebeague Island,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
988,4019,Cliff Island,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
989,4020,Cornish,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
990,4021,Cumberland Cente,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
991,4022,Denmark,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
992,4024,East Baldwin,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
993,4027,West Lebanon,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
994,4028,East Parsonsfield,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
995,4029,North Sebago,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
996,4030,East Waterboro,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
997,4032,Freeport,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
998,4033,Freeport,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
999,4034,Freeport,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1000,4037,Fryeburg,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1001,4038,Gorham,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1002,4039,Gray,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1003,4040,Harrison,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1004,4041,Hiram,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1005,4042,Hollis Center,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1006,4043,Kennebunk,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1007,4046,Kennebunkport,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1008,4047,Kezar Falls,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1009,4048,Limerick,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1010,4049,Limington,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1011,4050,Long Island,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1012,4051,Lovell,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1013,4054,Moody,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1014,4055,Naples,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1015,4056,Newfield,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1016,4057,North Bridgton,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1017,4061,North Waterboro,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1018,4062,Windham,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1019,4063,Oean Park,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1020,4064,Old Orchard Beac,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1021,4066,Orrs Island,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1022,4068,Porter,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1023,4069,Pownal,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1024,4070,Scarborough,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1025,4071,Raymond,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1026,4072,Saco,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1027,4073,Sanford,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1028,4074,Scarborough,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1029,4076,Shapleigh,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1030,4077,South Casco,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1031,4078,South Freeport,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1032,4079,South Harpswell,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1033,4082,South Windham,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1034,4083,Springvale,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1035,4084,Standish,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1036,4085,Steep Falls,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1037,4086,Pejepscot,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1038,4087,Waterboro,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1039,4088,Waterford,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1040,4090,Wells,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1041,4091,West Baldwin,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1042,4092,Westbrook,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1043,4093,West Buxton,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1044,4094,West Kennebunk,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1045,4095,Maplewood,ME,SACO ME,AUGUSTA ME,PORTLAND ME,,,
1046,4096,Yarmouth,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1047,4097,North Yarmouth,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1048,4098,Westbrook,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1049,4101,Portland,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1050,4102,Portland,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1051,4103,Portland,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1052,4104,Portland,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1053,4105,Falmouth,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1054,4106,South Portland,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1055,4107,Cape Elizabeth,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1056,4108,Peaks Island,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1057,4109,Portland,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1058,4110,Cumberland Fores,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1059,4112,Portland,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1060,4116,South Portland,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1061,4122,Portland,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1062,4123,Portland,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1063,4124,Portland,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1064,4210,Auburn,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1065,4211,Auburn,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1066,4212,Auburn,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1067,4216,Andover,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1068,4217,Bethel,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1069,4219,Bryant Pond,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1070,4220,Buckfield,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1071,4221,Canton,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1072,4222,Durham,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1073,4223,Danville,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1074,4224,Dixfield,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1075,4225,Dryden,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1076,4226,East Andover,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1077,4227,East Dixfield,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1078,4228,East Livermore,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1079,4230,East Poland,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1080,4231,East Stoneham,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1081,4234,East Wilton,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1082,4236,Greene,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1083,4237,Hanover,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1084,4238,Hebron,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1085,4239,Jay,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1086,4240,Lewiston,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1087,4241,Lewiston,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1088,4243,Lewiston,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1089,4250,Lisbon,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1090,4252,Lisbon Falls,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1091,4253,Livermore,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1092,4254,Livermore Falls,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1093,4255,Greenwood,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1094,4256,Mechanic Falls,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1095,4257,Mexico,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1096,4258,Minot,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1097,4259,Monmouth,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1098,4260,New Gloucester,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1099,4261,Newry,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1100,4262,North Jay,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1101,4263,Leeds,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1102,4265,North Monmouth,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1103,4266,North Turner,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1104,4267,North Waterford,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1105,4268,Norway,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1106,4270,Oxford,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1107,4271,Paris,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1108,4274,Poland Spring,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1109,4275,Roxbury,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1110,4276,Rumford,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1111,4280,Sabattus,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1112,4281,South Paris,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1113,4282,Turner,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1114,4284,Wayne,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1115,4285,Weld,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1116,4286,West Bethel,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1117,4287,Bowdoin,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1118,4288,West Minot,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1119,4289,West Paris,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1120,4290,Peru,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1121,4291,West Poland,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1122,4292,West Sumner,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1123,4294,Wilton,ME,AUBURN ME,AUGUSTA ME,PORTLAND ME,,,
1124,4330,Augusta,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1125,4332,Augusta,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1126,4333,Augusta,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1127,4336,Augusta,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1128,4338,Augusta,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1129,4341,Coopers Mills,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1130,4342,Dresden,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1131,4343,East Winthrop,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1132,4344,Farmingdale,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1133,4345,Gardiner,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1134,4346,Randolph,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1135,4347,Hallowell,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1136,4348,Jefferson,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1137,4349,Kents Hill,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1138,4350,Litchfield,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1139,4351,Manchester,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1140,4352,Mount Vernon,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1141,4353,North Whitefield,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1142,4354,Palermo,ME,ROCKLAND ME,AUGUSTA ME,PORTLAND ME,,,
1143,4355,Readfield,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1144,4357,Richmond,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1145,4358,South China,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1146,4359,South Gardiner,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1147,4360,Vienna,ME,WATERVILLE ME,AUGUSTA ME,PORTLAND ME,,,
1148,4363,Windsor,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1149,4364,Winthrop,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1150,4401,Bangor,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1151,4402,Bangor,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1152,4406,Abbot Village,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1153,4408,Aurora,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1154,4410,Bradford,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1155,4411,Bradley,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1156,4412,Brewer,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1157,4413,Brookton,ME,PRESQUE ISLE ME,AUGUSTA ME,PORTLAND ME,,,
1158,4414,Brownville,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1159,4415,Brownville Junction,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1160,4416,Bucksport,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1161,4417,Burlington,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1162,4418,Cardville,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1163,4419,Carmel,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1164,4420,Castine,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1165,4421,Castine,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1166,4422,Charleston,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1167,4424,Danforth,ME,PRESQUE ISLE ME,AUGUSTA ME,PORTLAND ME,,,
1168,4426,Dover Foxcroft,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1169,4427,East Corinth,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1170,4428,East Eddington,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1171,4429,East Holden,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1172,4430,East Millinocket,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1173,4431,East Orland,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1174,4434,Etna,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1175,4435,Exeter,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1176,4438,Frankfort,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1177,4441,Greenville,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1178,4442,Greenville Junct,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1179,4443,Guilford,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1180,4444,Hampden,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1181,4448,Seboeis,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1182,4449,Hudson,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1183,4450,Kenduskeag,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1184,4451,Kingman,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1185,4453,Lagrange,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1186,4454,Lambert Lake,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1187,4455,Lee,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1188,4456,Levant,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1189,4457,Lincoln,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1190,4459,Mattawamkeag,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1191,4460,Medway,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1192,4461,Milford,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1193,4462,Millinocket,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1194,4463,Derby,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1195,4464,Monson,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1196,4468,Old Town,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1197,4469,Orono,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1198,4471,North Amity,ME,PRESQUE ISLE ME,AUGUSTA ME,PORTLAND ME,,,
1199,4472,Orland,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1200,4473,Orono,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1201,4474,Orrington,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1202,4475,Passadumkeag,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1203,4476,Penobscot,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1204,4478,Rockwood,ME,WATERVILLE ME,AUGUSTA ME,PORTLAND ME,,,
1205,4479,Sangerville,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1206,4481,Sebec,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1207,4485,Shirley Mills,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1208,4487,Springfield,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1209,4488,Stetson,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1210,4489,Stillwater,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1211,4490,Topsfield,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1212,4491,Vanceboro,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1213,4492,Waite,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1214,4493,West Enfield,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1215,4495,Winn,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1216,4496,Winterport,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1217,4497,Wytopitlock,ME,PRESQUE ISLE ME,AUGUSTA ME,PORTLAND ME,,,
1218,4530,Bath,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1219,4535,Alna,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1220,4537,Boothbay,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1221,4538,Capitol Island,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1222,4539,Bristol,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1223,4541,Chamberlain,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1224,4543,Damariscotta,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1225,4544,East Boothbay,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1226,4547,Friendship,ME,ROCKLAND ME,AUGUSTA ME,PORTLAND ME,,,
1227,4548,Mac Mahan,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1228,4549,Isle of Springs,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1229,4551,Medomak,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1230,4553,Newcastle,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1231,4554,New Harbor,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1232,4555,Nobleboro,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1233,4556,Edgecomb,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1234,4558,Pemaquid,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1235,4562,Phippsburg,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1236,4563,Cushing,ME,ROCKLAND ME,AUGUSTA ME,PORTLAND ME,,,
1237,4564,Round Pond,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1238,4565,Sebasco Estates,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1239,4568,South Bristol,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1240,4570,Squirrel Island,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1241,4571,Trevett,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1242,4572,Waldoboro,ME,ROCKLAND ME,AUGUSTA ME,PORTLAND ME,,,
1243,4573,Walpole,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1244,4574,Washington,ME,ROCKLAND ME,AUGUSTA ME,PORTLAND ME,,,
1245,4575,West Boothbay Harbor,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1246,4576,West Southport,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1247,4578,Wiscasset,ME,AUGUSTA ME,AUGUSTA ME,PORTLAND ME,,,
1248,4579,Woolwich,ME,PORTLAND ME,AUGUSTA ME,PORTLAND ME,,,
1249,4605,Ellsworth,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1250,4606,Addison,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1251,4607,Gouldsboro,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1252,4609,Bar Harbor,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1253,4611,Beals,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1254,4612,Bernard,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1255,4613,Birch Harbor,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1256,4614,Blue Hill,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1257,4616,Brooklin,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1258,4617,Brooksville,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1259,4619,Calais,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1260,4622,Cherryfield,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1261,4623,Columbia Falls,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1262,4624,Corea,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1263,4625,Cranberry Isles,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1264,4626,Cutler,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1265,4627,Deer Isle,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1266,4628,Dennysville,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1267,4629,East Blue Hill,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1268,4630,East Machias,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1269,4631,Eastport,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1270,4634,Franklin,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1271,4635,Frenchboro,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1272,4637,Grand Lake Stream,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1273,4640,Hancock,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1274,4642,Harborside,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1275,4643,Harrington,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1276,4644,Hulls Cove,ME,BANGOR ME,AUGUSTA ME,PORTLAND ME,,,
1277,4645,Isle Au Haut,ME,ROCKLAND ME,AUGUSTA ME,PORTLAND ME,,,
